czas;akcja
0:00 ;  oczy - wejscie na scenę Rymer i Rosada, Rymer się odpala 
0:17 ; Rymer wchodzi na scenę z ogniem,  
1:12 ; Jakubczyk Mati 	- Clabs, Doublesaff 
2:53 ; Rosada Rymer 	- nieodpalone Kije 
4:40 ; Julia 	(Wahlarze+Dym) / Julia (Wahclarze) + Jakubczyk (Kij+Dym) 
4:40 ; (DYM) 
6:15 ; Jakubczyk  Mati 	DUO POI 
8:59 ; Jakubczyk 	Skrzydła 
9:30 ; (Strobo) 
9:30 ; Mateusz 		Skrzydła 
10:01 ; Rymer 	Duże Iskry (pojedyncze) 
10:15 ; Rosada Dragon,  
10:15 ; Mati Jakubczyk 	Bongosy 
11:00 ; Rymer  	Duże iskry (podwojne) Mati PiroPOI
11:10 ; Jakubczyk Julia  Halabardy 
