czas;akcja
0:00 ;  Julia Mati 	- Clabs
0:34 ; Strobo (Wojtek)	---	za fontannę z neptunem  
1:38 ; Wojtek i Mateusz - Kije 
3:04 ; Julia - Wachlarze
3:33 ; Wojtek - (Kij zwykły + 2xDymy(zawleczki) na końcu owijki) - tło dla Julii 
4:20 ; Mateusz Julia poi (Mateusz wnosi)
4:57 ; PIRO A strzał !!!musi być w tempo!!! (do muzyki)
5:55 ; DYM(też zawleczka raczej) środek sceny - Wojtek 
6:42 ; PIRO B 30s 
7:05 ; Mati Julia - Liny ====finał====
7:46 ; PIRO C strzał !!!musi być w tempo!!! (do muzyki)
8:42 ; PIRO D - 60s Neptun , mati schodzi 
9:04 ; PIRO POI x2 Mateusz Wojtek
9:20 ; Julia dwie halabardy
9:24 ; PIRO KIJ x2 Mateusz Wojtek
